"TOA5","73410","CR1000X","73410","CR1000X.8.4.0","CPU:Romeral_10032026.CR1X","36289","FTPMonitor"
"TIMESTAMP","RECORD","Batt_volt_Min","FTPResultRomeral","FTPResultRomeral_Raw","FTPResultRain"
"TS","RN","Volts","","",""
"","","Min","Smp","Smp","Smp"
"2026-05-09 06:10:00",236,12.62,-1,-1,-2
"2026-05-09 12:10:00",237,13.58,-1,-1,-2
"2026-05-09 18:10:00",238,13.58,-1,-1,-2
"2026-05-10 00:10:00",239,12.76,-1,-1,-1
"2026-05-10 06:10:00",240,12.59,-1,-1,-2
"2026-05-10 12:10:00",241,13.57,-1,-1,-2
"2026-05-10 18:10:00",242,13.58,-1,-1,-2
"2026-05-11 00:10:00",243,12.83,-1,-1,-1
"2026-05-11 06:10:00",244,12.62,-1,-1,-2
"2026-05-11 12:10:00",245,13.98,-1,-1,-2
"2026-05-11 18:10:00",246,13.56,-1,-1,-2
"2026-05-12 00:10:00",247,12.82,-1,-1,-1
"2026-05-12 06:10:00",248,12.68,-1,-1,-2
"2026-05-12 12:10:00",249,13.98,-1,-1,-2
"2026-05-12 18:10:00",250,13.58,-1,-1,-2
"2026-05-13 00:10:00",251,12.83,-1,-1,-1
"2026-05-13 06:10:00",252,12.64,-1,-1,-2
"2026-05-13 12:10:00",253,13.98,-1,-1,-2
"2026-05-13 18:10:00",254,13.2,-1,-1,-2
"2026-05-14 00:10:00",255,12.82,-1,-1,-1
"2026-05-14 06:10:00",256,12.64,-1,-1,-2
"2026-05-14 12:10:00",257,13.58,-1,-1,-2
"2026-05-14 18:10:00",258,13.58,-1,-1,-2
"2026-05-15 00:10:00",259,12.81,-1,-1,-1
"2026-05-15 06:10:00",260,12.63,-1,-1,-2
"2026-05-15 12:10:00",261,13.58,-1,-1,-2
"2026-05-15 18:10:00",262,13.6,-1,-1,-2
"2026-05-16 00:10:00",263,12.85,-1,-1,-1
"2026-05-16 06:10:00",264,12.72,-1,-1,-2
"2026-05-16 12:10:00",265,13.99,-1,-1,-2
"2026-05-16 18:10:00",266,13.59,-1,-1,-2
"2026-05-17 00:10:00",267,12.77,-1,-1,-1
"2026-05-17 06:10:00",268,12.68,-1,-1,-2
"2026-05-17 12:10:00",269,13.52,-1,-1,-2
"2026-05-17 18:10:00",270,13.57,-1,-1,-2
"2026-05-18 00:10:00",271,12.76,-1,-1,-1
"2026-05-18 06:10:00",272,12.6,-1,-1,-2
"2026-05-18 12:10:00",273,13.96,-1,-1,-2
"2026-05-18 18:10:00",274,13.47,-1,-1,-2
"2026-05-19 00:10:00",275,12.82,-1,-1,-1
"2026-05-19 06:10:00",276,12.66,-1,-1,-2
"2026-05-19 12:10:00",277,13.96,-1,-1,-2
"2026-05-19 18:10:00",278,13.4,-1,-1,-2
